loss	d_loss	rec_loss	
3.396226	1.463069	1.933156	
3.396463	1.463026	1.933437	
3.397280	1.462963	1.934317	
3.395221	1.463012	1.932209	
3.395780	1.462959	1.932821	
3.393933	1.462988	1.930945	
3.394663	1.462993	1.931670	
3.394036	1.463030	1.931006	
3.395755	1.463007	1.932748	
3.393798	1.462999	1.930799	
3.396194	1.462955	1.933239	
3.393770	1.462944	1.930826	
3.394846	1.462927	1.931919	
3.391379	1.462939	1.928440	
3.393598	1.462962	1.930636	
3.393794	1.462982	1.930813	
3.391804	1.462962	1.928842	
3.392462	1.462979	1.929483	
3.392039	1.462923	1.929117	
3.391943	1.462913	1.929030	
3.390985	1.462865	1.928119	
3.389559	1.462948	1.926611	
3.391388	1.462889	1.928500	
3.390267	1.462932	1.927334	
3.391237	1.462876	1.928361	
3.391997	1.462863	1.929134	
3.390047	1.462885	1.927162	
3.389836	1.462796	1.927040	
3.389141	1.462884	1.926257	
3.391367	1.462872	1.928495	
3.388964	1.462960	1.926004	
3.389429	1.462876	1.926553	
3.387973	1.462825	1.925147	
3.389518	1.462860	1.926658	
3.388830	1.462841	1.925989	
3.389351	1.462830	1.926521	
3.387506	1.462843	1.924663	
3.388620	1.462830	1.925789	
3.388500	1.462819	1.925681	
3.389371	1.462798	1.926574	
3.385653	1.462821	1.922832	
3.388091	1.462805	1.925286	
3.386533	1.462822	1.923712	
3.387373	1.462806	1.924567	
3.387432	1.462796	1.924635	
3.388151	1.462806	1.925346	
3.385367	1.462816	1.922552	
3.385492	1.462767	1.922725	
3.386972	1.462798	1.924174	
3.385598	1.462774	1.922823	
3.384294	1.462784	1.921510	
3.385316	1.462742	1.922574	
3.383660	1.462810	1.920851	
3.386226	1.462784	1.923442	
3.385493	1.462682	1.922811	
3.383697	1.462897	1.920799	
3.385240	1.462697	1.922543	
3.382800	1.462730	1.920070	
3.381856	1.462762	1.919095	
3.383651	1.462749	1.920902	
3.381490	1.462755	1.918735	
3.381126	1.462732	1.918394	
3.381755	1.462740	1.919015	
3.381121	1.462626	1.918495	
3.382455	1.462698	1.919757	
3.383170	1.462703	1.920467	
3.379053	1.462680	1.916372	
3.380868	1.462706	1.918162	
3.381106	1.462745	1.918361	
3.381461	1.462695	1.918765	
3.381616	1.462713	1.918903	
3.380744	1.462673	1.918071	
3.379977	1.462715	1.917263	
3.381802	1.462656	1.919145	
3.380086	1.462626	1.917460	
3.381156	1.462660	1.918496	
3.379647	1.462662	1.916985	
3.380545	1.462667	1.917878	
3.379741	1.462625	1.917116	
3.377784	1.462628	1.915156	
3.380095	1.462657	1.917437	
3.378780	1.462583	1.916197	
3.379054	1.462608	1.916446	
3.380538	1.462600	1.917939	
3.379039	1.462586	1.916453	
3.379081	1.462618	1.916463	
